approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
IE268,Dawn Meats Ireland UC T/A Dawn Kildare,"Old Dublin Road, Curragh Farm, Kildare Town, 51 WD85",KILDARE County Kildare,,"County Kildare,Leinster",Ireland,RM,CP SH,Y,bovine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE364,Dawn Meats Ireland UC T/A Dawn Meats Ballyhaunis,"Clare Road, Ballyhaunis Co.Mayo. F35 D882",Co. Mayo,,"County Mayo,Connacht",Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE368,Dawn Meats Ireland UC T/A Dawn Meats Charleville,"Ardnageehy, Charleville, Co Cork. P56 X772",Co. Cork,,"County Cork,Munster",Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE574,Dawn Meats Ireland UC T/A Dawn Meats Kilbeggan,"Clara Road, Kilbeggan, Co Westmeath. N91 HR83",Co. Westmeath,,"County Westmeath,Leinster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE384,Dawn Meats Ireland UC T/A Dawn Meats Slane,"Greenhills, Beauparc, Navan, Co. Meath C15 CF38",Co. Meath,,"County Meath,Leinster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE753,Dew Valley Foods,"Holycross Road, Thurles, Co. Tipperary E41 CX29",CX29 Thurles,E41,"County Tipperary,Munster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE292,Donegal Meat Processors T/A Foyle Donegal,"Drumnasher, Carrigans, F93 A310",Co. Donegal,,County Donegal,Ireland,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
IE407,Dunleavy Meats,"Cooneal, Ballina, F26 YC52",Co. Mayo,,"County Mayo,Connacht",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE2536,Edward Joyce T/A Summerhill Meats,"Summerhill, Kilmore, Co. Clare V94 NY83",Co. Clare,,"County Clare,Munster",Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE2392,Feoil O' Croistoir Teoranta,Ballyburden Ballincollig Cork,Co. Cork,,"County Cork,Munster",Ireland,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
IE369,Finn Meats,"Curraheen, Mitchelstown, Co. Cork P67 XH27",F76C Cork,T12,"County Cork,Munster",Ireland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE2383,GILLIGANS FARM FRESH MEATS LTD,DERRANE RD FOUR MILE HOUSE Roscommon F42 EV61,EV61 Co. Roscommon,F42,"County Roscommon,Connacht",Ireland,RM,SH CP,Y,bovine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
IE830,Glenhaven Foods ( Arklow) Ltd,Kilbride Industrial Estate Arklow Co Wicklow Y14 E898,CO WICKLOW County Wicklow,,"County Wicklow,Leinster",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE381,Green Pasture Meat Processors Ltd.,Drumlish Co.Longford Ireland N39 N5Y2,Co. Longford,,"County Longford,Leinster",Ireland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2428,Heaney Meats Catering Co,Liosban Industrial Estate Tuam Rd Galway H91 HR04,Co. Galway,,"County Galway,Connacht",Ireland,RM,CP,N,,CP - Cutting Plant,,
IE513,Honeyvale Foods Ltd. T/A Oakpark Foods,"Clogheen Road, Cahir, Co. Tipperary E21 W135",Co. Tipperary,,"County Tipperary,Munster",Ireland,RM,CP,N,,CP - Cutting Plant,,
EU2558,Justin Flannery,"Blackrock, Peterswell, H91 PW44",Co. Galway,,"County Galway,Connacht",Ireland,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
IE2396,KELLY BROS. BUTCHERS,"UNIT 2 CRAG AVENUE, STATION ROAD BUSINESS PARK, CLONDALKIN DUBLIN 22 D22 K3E9","K3E9 UNIT 2 CRAG AVENUE STATION ROAD BUSINESS PARK, CLONDALKIN DUBLIN 22",D22,"County Dublin,Leinster",Ireland,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
IE404,Kavanagh Meats Enniscorthy Ltd,Moyne Lower Enniscorthy Co. Wexford,PN52 Co. Wexford,Y35,"County Wexford,Leinster",Ireland,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
IE2680,Kellys of Newport (Artisan Butchers ) Ltd,17 Main Street Newport,Co. Mayo,,"County Mayo,Connacht",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE313,Kepak Athleague,"Athleague, F42 HR50",Co. Roscommon,,"County Roscommon,Connacht",Ireland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
IE317,Kepak Clonee Unlimited Company,"Clonee, D15 AW62",Co. Meath,,"County Meath,Leinster",Ireland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
IE329,Kepak Cork Unlimited Company,"Condonstown, Watergrasshill, T56 KW94",Co. Cork,,"County Cork,Munster",Ireland,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
