approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
F161,DE ROOVER - DE MEESTER,Kruisstraat 14,Belsele,9111,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F753,DE STOOP BVBA,Eugène Bekaertlaan 14,Waregem,8790,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F903,DE WULF II,Gentweg 76,Gavere,9890,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
17/1,DEBRA-MEAT NV,Hoogserleistraat 3,Tielt,8700,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F87,DEFECHEREUX - LEUFGEN,Rue de Droixhe 21/b,Liège,4020,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F281,DEGO,Ballingsweg 15,Zottegem,9620,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F839,DEKEYZER-OSSAER,Barnestraat 1,Koekelare,8680,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F1102,DELA FRESH B.V.B.A.,Rue Ropsy Chaudron 55-57,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F126,DELAVI,Tenhovestraat 10,Tielt,8700,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F818,DELEMEAT,Nijverheidslaan 57,Gullegem,8560,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F846,DEOM Marc,"Rue du Marché Couvert, 19",Bastogne,6600,"Luxembourg,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F467,DEVOOGDT MARNICK B.V.B.A.,Porreyestraat 9,Vlamertinge,8908,"West Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F273,DHAGRAMEAT,Nijverheidslaan (M) 13,Zwevegem,8552,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F103885,DIFALUX,Rue de Jausse(NN) 55,Namur,5100,"Namur,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F496,DISTRI CARNE,Tramstraat 11,Wevelgem,8560,"West Flanders,Flanders",Belgium,RM,CP,N,bovine porcine caprine ovine,CP - Cutting Plant,,
F103583,DL - VH,Industrieweg 22,Aartselaar,2630,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F150,DL MEAT BVBA,Schaapstraat 97,Blankenberge,8370,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
