approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
LT 79-20,V. Kartenio firma „Elektrėnų mėsa“,"Elektrėnų sav., Kietaviškių sen., Obenių k.",Obeniai,LT-26110,Vilnius County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
LT 55-24 EB,V. Urbono Mėsos Gamybos Įmonė,"Verslo g. 11, Kretingalė, LT- 96332 Klaipėdos r.",Kretingalė,LT-96337,Klaipeda County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
LT45-07EB,Vaidanto Jurgelevičiaus įmonė,"Pusvarsnėliai 8., Linkmenų sen., Ignalinos r. sav., LT-30216",Pusvarsnėliai,,Utena County,Lithuania,RM,SH,Y,bovine ovine caprine,SH - Slaughterhouse,,
LT 79-05,Č. Zachaževskij IĮ,"Kranto g. 7, Paluknio k., Paluknio sen., Trakų r.",Trakai,LT-21110,Vilnius County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
77-09,ĮI AIRONA,"Tauragės apskr., Tauragės r. sav., Skaudvilės sen., Šidagiai",Tauragė,LT-72185,Taurage County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
77-06,ŪKININKĖs LAIMUTĖS SUGINTIENĖS ŪKIS,"Tauragės apskr., Tauragės r. sav., Žygaičių sen., Girininkai 6",Tauragė,LT-72253,Taurage County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
87-04,ŪKININKŲ LAIMOS IR IMEDO MONKŲ MĖSOS CH.,"Svirno g. 8, 75117 Lingiškė, Traksėdžio sen., Šilalės r. sav.",Šilalė,,Taurage County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
61-10,Ūkininkas Eimantas Vasiliauskas,"A. Baranausko g. 12A, Mažeikiai, Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,LT-89224,Telsiai County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT57-02 EB,Ūkininkas H. Gineika,"Mazgeliškių k., Šimonių sen., Kupiškio r. LT-40312",Mazgeliškiai,,Panevezys County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 34-05 EB,Ūkininkas Ladas Katinas,Žvejų g. 76A Anykščiai,Anykšciai,29147,Utena County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
