approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
DE BW 03038,HELAL ET Fleischhandel GmbH,Englerstraße 2,Ettlingen,76199,"Landkreis Karlsruhe,Regierungsbezirk Karlsruhe,Baden-Württemberg",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 10438,HVM GmbH & Co. KG Fleisch-und Wurstwaren,Feldbachacker 9,Dortmund,44149,"Dortmund,Regierungsbezirk Arnsberg,North Rhine-Westphalia",Germany,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
DE BY 11134,Halsbacher Qualitätsfleisch GmbH,Brandl 53,Halsbach,84553,"Landkreis Altötting,Upper Bavaria,Bavaria",Germany,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
BY 10056,"Heilmaier, Gottfried",Seestr. 17,Waging am See,83329,"Landkreis Traunstein,Upper Bavaria,Bavaria",Germany,RM,SH,Y,,SH - Slaughterhouse,,
"DE EZ 568, DE ES 397",Heinrich Manten Qualitätsfleisch vom Niederrhein GmbH & Co. KG,Möhlendyck 11,Geldern,47608,"Kreis Kleve,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NI-EZ 587,Heinrich Uthmann GmbH & Co. KG,Am Fledderbach 1,Dissen,49201,"Landkreis Osnabrück,Lower Saxony",Germany,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
DE NW 80198 EG,Heinz Tummel GmbH & Co. KG,Eggeroder Strasse 8,Schöppingen,48624,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
DE BY 30395 EG,"Hellerbrand, Georg",St. Margareten Str. 26,Högling,92269,"Landkreis Schwandorf,Upper Palatinate,Bavaria",Germany,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
DE HE 30431 EG,Helwig Handels GmbH & Co. KG,Bei der Tränke 8,Schwalmstadt,34613,"Schwalm-Eder-Kreis,Regierungsbezirk Kassel,Hesse",Germany,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NI 10037 EG,Hencke Fleischwaren GmBH,Ludwig-Ehlers-Straße 8,Bad Bevensen,29549,"Landkreis Uelzen,Lower Saxony",Germany,RM,SH CP,Y,bovine porcine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
