approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 31940175,Masná výroba a uzenářství Bohunice s.r.o.,"Bohunice č. p. 35, 38422 Bohunice",Bohunice,38425,"Jihočeský kraj,Southwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 4360,Maso Brejcha s.r.o,Hradišťský Újezd č.p.20,Blovice,33561,"Plzeňský kraj,Southwest",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 1130,Maso Jičín s.r.o.,"Lánovská 565, 54301 Vrchlabí",Vrchlabí,54302,"Královéhradecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 302,"Maso Jičín, s.r.o.","Konecchlumského 1075, Valdické Předměstí",Jičín,50601,"Královéhradecký kraj,Northeast",Czechia,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 62910389,"Maso Klouda, s.r.o.","Křtěnovská 29, 67974 Olešnice",Olešnice,67974,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 11920205,Maso z Kozmic s.r.o.,"Zadní 723, 149 00 Praha 4 - Šeberov",Praha 4,14900,"Capital City of Prague,Prague",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 8792,Maso závod Hovorany,Hovorany 828,Hovorany,69612,"Jihomoravský kraj,Southeast",Czechia,RM,CP SH,Y,bovine caprine equine porcine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 4602,Mgr. Josef Drda,Jirkov 50,Železný Brod,46822,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 53910266,Michal Sedláček,"Osík č. p. 125, 56967 Osík",Osík,,"Pardubický kraj,Northeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 787,Miloš Mužík,"Ražice, Ražice 70, 39811 Ražice",Ražice,39822,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 2152,Miroslav Prošek,Jiráskova 737,Frýdlant,46401,"Liberecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 15738,Miroslav Rehák,Hodová 949,Čejkovice,69615,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 51930682,OLDRISKA s.r.o.,Statek Oldřiš Dolní Oldřiš 23,Bulovka,46401,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
CZ 1133,"Orlické uzeniny, s.r.o.","Markoušovice č. p. 211, 54232 Velké Svatoňovice",Úpice,54232,"Královéhradecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 10038,POTRAVINY VYSOČINA s.r.o.,"Český Dvůr 123, 58001 Knyk",Horní Papšíkov,58001,"Kraj Vysočina,Southeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
