approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
KSA - 04,Hail Agriculture Development Co.,PO Box 106 (Hail Qassim Road) Hail 81411,Ash Shinan,,Hayel Region,Saudi Arabia,third-country,ABP-SH,,,,CAT3 - Category 3,21/09/2022,07/11/2022
KSA-02,Caviar Court Food Processing,Abu-Hadriyah Road,Dammam,,Eastern Region,Saudi Arabia,third-country,FFP,PP,,,PP - Processing Plant,,
KSA-03,Jazan Development Company,Corniche Road - P.O. Box 127,Jazan,,Jazan Region,Saudi Arabia,third-country,FFP,PP,,,PP - Processing Plant,,
KSA-01,National Aquaculture Group,P.O. Box 20,Al Laith,,Makkah Region,Saudi Arabia,third-country,FFP,PP,,,PP - Processing Plant,,
