approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
5652,"Det Ville Slagtehus, Slagteri",Kær Møllevej 95,Hejls,6094,"Kolding Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5923,Djurs Slagtehus v/Bo Drachmann,Hovedgaden 28,Allingåbro,8961,"Norddjurs Municipality,Central Denmark Region",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1219,Egtved Slagtehus ApS,Brudesøvej 1,Egtved,6040,"Vejle Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4818,"Fjerkræ- og vildtslagteri, slagteri, v/ Ib Christiansen",Bygaden 81,Dannemare,4983,"Lolland Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1430,Frøstrup Slagtehus,Søndergade 6,Frøstrup,7741,"Thisted Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4972,GJ Kød ApS,Kirstinehøj 75,Kastrup,2770,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
5859,Galgebakkens Hjortefarm,Galgebakkens Hjortefarm 4,Bedsted Thy,7755,"Thisted Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1319,Gelstedslagteren ApS,Tellerupvej 15,Gelsted,5591,"Middelfart Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2774,Genz Kød A/S,Slagtehusgade 46,København V,1715,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
2095,Gert Nielsen A/S,Stamholmen 140B,Hvidovre,2650,"Hvidovre Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
1212,Gislinge Slagteri,Byvej 9,Gislinge,4532,"Holbæk Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
823,Glumsø Slagtehus ApS,Søvej 5,Glumsø,4171,"Naestved Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
