approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
105,Stensaas Reinsdyrslakteri AS,Feragsveien 11,Røros,7375,Trøndelag,Norway,RM,CP,N,,CP - Cutting Plant,,
2330,Sundbygd gård slakteri og butikk AS,Sundbygdvegen 310,Malm,7790,Trøndelag,Norway,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
368,Sørlandskjøtt,Mjåvannsvegen 61,Kristiansand,4628,,Norway,RM,CP,N,,"Vest-Agder,West Agder | CP - Cutting Plant",,
2437,Trondheim Slaktehus AS,Nordslettvegen 3,Trondheim,7038,Trøndelag,Norway,RM,CP,N,,CP - Cutting Plant,,
276,VOSS GARDSSLAKTERI SA,Selheimsvegen 128,Voss,5706,Hordaland,Norway,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
Vikja AS,Vikja AS,Seljadalsvegen 17,Vik i Sogn,6893,Sogn og Fjordane,Norway,RM,CP SH,Y,ovine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
1886,Åkeberg-Skoglunn pølsemakeri AS avd Professor Birkelands vei Oslo,Professor Birkeland vei 28,Oslo,0976,Oslo,Norway,RM,CP,N,bovine ovine,CP - Cutting Plant,,
NO2616,AVEMPRO AS,Krokstad Industriområde 25,Krokstadelva,3055,Buskerud,Norway,PM,CP,N,,CP - Cutting Plant,,
2596,FOODPARTNER AS AVD PRODUKSJON,Solgaard Skog 1,Moss,1599,Østfold,Norway,PM,CP,N,,CP - Cutting Plant,,
NO 536,Holte Gård Drangedal AS,Holtefjella 44,Drangedal,3750,Telemark,Norway,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
1944,Hå Kylling AS,Næringsvegen 25,Nærbø,4365,Rogaland; A Poultry,Norway,PM,CP,N,,CP - Cutting Plant,,
2543,NORSK KYLLING AS AVD ORKDAL,Havneveien 43,Orkanger,7300,Trøndelag,Norway,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1622,NYE HARLEM KJØTT AS,Haugeveien 40,Borgenhaugen,1738,Østfold,Norway,PM,CP,N,,CP - Cutting Plant,,
520,Nortura SA Avd Elverum,Industrigata 13,Elverum,2406,Hedmark; A Poultry,Norway,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
522,Nortura SA Avd Hærland,Sloraveien 60,Hærland,1878,Østfold,Norway,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
990,SMEDSTUEN ØRN AS,Industrivegen 82,Dal,2072,Akershus; A Poultry,Norway,PM,CP,N,,CP - Cutting Plant,,
NO718,ANDERS WÅLA,Åsveien 10,Skollenborg,3618,Buskerud,Norway,GM,SH,Y,,SH - Slaughterhouse,,
238,Arctic Rein og Vilt AS,Entreprenørveien 1,Mo i Rana,8610,Nordland,Norway,GM,CP,N,,CP - Cutting Plant,,
1478,BJØRNSTAD HJORTESLAKTERI,Markabygdvegen 167,Vikhammer,7560,Trøndelag,Norway,GM,SH,Y,,SH - Slaughterhouse,,
NO721,BRØHOLT GÅRD KRISTIAN FØRDE,Brøholtveien 2,Spikkestad,3430,Buskerud,Norway,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
205,Brovold Trygve AS,Storgata 23,Stange,2335,Hedmark; fG Farmed land mammals other than domestic ungulates,Norway,GM,SH,Y,,SH - Slaughterhouse,,
NO2759,EIKER HJORT,Holteveien 191,Skotselv,3330,Buskerud,Norway,GM,SH,Y,,SH - Slaughterhouse,,
1334,Gjørv Gård,Korsavegen 123,Inderøy,7670,Trøndelag; fG Farmed land mammals other than domestic ungulates,Norway,GM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
357,H BRAKSTAD EFTF AS,Leirvikåsen 31,Godvik,5179,Hordaland,Norway,GM,CP,N,,CP - Cutting Plant,,
1428,HAFSRØD JORD- OG SKOGBRUK,Hafsrødveien 5,Halden,1766,Østfold,Norway,GM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
NO1862,HALVOR AAS,Aas Gårds vei 27,Holmsbu,3484,Buskerud,Norway,GM,SH,Y,,SH - Slaughterhouse,,
713,Helge Thorsvoll,Torsvollen,Brekken,7370,Trøndelag,Norway,GM,SH,Y,,SH - Slaughterhouse,,
1872,Henning Holm Kumle,Nyhushøgda 119,Gaupen,2355,Hedmark; fG Farmed land mammals other than domestic ungulates,Norway,GM,SH,Y,,SH - Slaughterhouse,,
1222,Knut Prestjordet,Skjåkvegen 148,Skjåk,2690,Oppland,Norway,GM,SH,Y,,SH - Slaughterhouse,,
Lund Hjort DA,Lund Hjort DA,Tønjum,Lærdal,6887,Sogn og Fjordane; fG Farmed land mammals other than domestic ungulates,Norway,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
Marås Hjort,Marås Hjort,Mørkridsvegen 428,Skjolden,6876,Sogn og Fjordane; fG Farmed land mammals other than domestic ungulates,Norway,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
715,Nordås Gårdskjøtt,Torsætervegen 250,Skreia,2848,Oppland; fG Farmed land mammals other than domestic ungulates,Norway,GM,CP,N,,CP - Cutting Plant,,
134,Nortura SA Avd Førde,Holtemyrane 6,Førde,6814,Sogn og Fjordane,Norway,GM,CP SH,Y,bovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
1777,Per Solberg,Solberg,Brøttum,2372,Hedmark; fG Farmed land mammals other than domestic ungulates,Norway,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
2589,RINGSTAD GÅRD LILLE,Ringstadhavna 7,Rolvsøy,1667,Østfold,Norway,GM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
105/1843,Stensaas Reinsdyrslakteri AS,Feragsveien 11,Røros,7375,Trøndelag,Norway,GM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
Stiftelsen Norsk Hjortesenter,Stiftelsen Norsk Hjortesenter,Kvalstad,Svanøybukt,6914,Sogn og Fjordane; fG Farmed land mammals other than domestic ungulates,Norway,GM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
NO2430,SÆTHRE ANDERS FREDRIK,Solbergveien 2,Filtvet,3480,Buskerud,Norway,GM,SH,Y,,SH - Slaughterhouse,,
NO2433,TROLLERUD GÅRD ÅRSTEIN JENSEN,Trollerud Gård,Svene,3622,Buskerud,Norway,GM,SH,Y,,SH - Slaughterhouse,,
1546,TRØGSTAD HJORTEFARM DA,Furukollveien 135,Trøgstad,1860,Østfold,Norway,GM,SH,Y,,SH - Slaughterhouse,,
1563,Trollheimsrein Gustav Kant,Nerskogen,Skaret,7393,Trøndelag,Norway,GM,SH,Y,,SH - Slaughterhouse,,
428,Inderøy Slakteri,Meieribakken 4,Inderøy,7670,Trøndelag; wA Wild game birds; wL Lagomorphs living freely in the wild; wU Wild ungulates,Norway,WM,CP GHE,N,,CP - Cutting Plant | GHE - Game-Handling Establishment,,
2523,KJELL VIDAR ØGLEND,Haukelivegen 816,Ølen,5580,Rogaland; wU Wild ungulates,Norway,WM,GHE,N,,GHE - Game-Handling Establishment,,
Kystvilt AS,Kystvilt AS,Fure i Fjaler,Dale i Sunnfjord,6963,Sogn og Fjordane; wG Wild land mammals other than wild ungulates,Norway,WM,GHE,N,,GHE - Game-Handling Establishment,,
423,LIERNE VILTFOREDLING AS,Sandvikaveien 368,Nordli,7882,Trøndelag,Norway,WM,CP,N,,CP - Cutting Plant,,
2522,Lars Erik Almo,Almo Nordre Øverbygdvegen 1167,Snåsa,7760,Trøndelag,Norway,WM,GHE,N,,GHE - Game-Handling Establishment,,
1969,Løiten Hjorteoppdrett,Brendholen,Løten,2340,Hedmark,Norway,WM,GHE,N,,GHE - Game-Handling Establishment,,
2659,Nittemark/børmark slaktehus,c/o Rune By Norddalsveien 1038,Åfjord,7170,Trøndelag,Norway,WM,GHE,N,,GHE - Game-Handling Establishment,,
1639,Nordås Gårdskjøtt avd. Frya,Flyplassvegen 15,Ringebu,2630,Oppland,Norway,WM,GHE,N,,GHE - Game-Handling Establishment,,
216,Vilteksperten AS,Bindesvegen 10,Steinkjer,7715,Trøndelag; wU Wild ungulates; wG Wild land mammals other than wild ungulates,Norway,WM,CP GHE,N,,CP - Cutting Plant | GHE - Game-Handling Establishment,,
