approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CV 004,Frescomar - CPCI,,Mindelo,0013,São Vicente,Cabo Verde,third-country,FFP,PP,,,PP - Processing Plant,,
CV 002,"Frescomar, SA",p.o. box 619. Área industrial do Lazareto,Mindelo,0013,São Vicente,Cabo Verde,third-country,FFP,PP,,,PP - Processing Plant,,
CV 021,"Fresk D' Gustinh Comercio de Pescado, Lda","Monte Vermelho, Palmarejo, Praia- Santiago",Praia,7602,Praia,Cabo Verde,third-country,FFP,PP,,,PP - Processing Plant,24/09/2025,
CV016NC,LOURENÇO E BARBOSA N.C. MUNCRECA,C/O LIMAGE MINDELO-SÃO VICENTE CABO VERDE,Mindelo,0013,São Vicente,Cabo Verde,third-country,FFP,ZV,,,ZV - Freezer Vessel,24/05/2023,
CV 013,"SOCIEDADE PALMEIRA E PESCA, LDA",,Palmeira,4110,Sal,Cabo Verde,third-country,FFP,PP,,,PP - Processing Plant,,
CV007,"SUCLA, Lda",,Tarrafal,1110,Porto Novo,Cabo Verde,third-country,FFP,PP,,,PP - Processing Plant,,
