approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
3700/03480,"Shandong Seahisun Agri-Husbandry Group Co.,LTD. Slaughtering Plant",Fangzi Qu,Weifang,261041,"Weifang City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CP SH CS,Y,,CP - Cutting Plant | SH - Slaughterhouse | CS - Cold Stores,10/10/2022,
3700/03153,"Shandong Sishui Sheng Chang Meat Product Co., Ltd.","No.156 Jihe Road,Sishui",Jining,272000,"Jining City,Shandong; Lo Oryctolagus cuniculus",China,third-country,PM,SH CP CS,Y,,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,10/10/2022,
3700/03188,"Shandong Fambros Industrial Co.,Ltd","Liu miao village, Anle town, Yanggu County",Liaocheng,252000,"Liaocheng City,Shandong; A Poultry; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU",China,third-country,PM,CP SH CS,Y,,CP - Cutting Plant | SH - Slaughterhouse | CS - Cold Stores,,
1400/03011,Shanxi Changzhi Yunhai Foreign Trade Meat Co. Ltd.,No.41 Changan road,Changzhi City,046099,"Changzhi City,Shanxi; Lo Oryctolagus cuniculus",China,third-country,PM,CP SH CS,Y,,CP - Cutting Plant | SH - Slaughterhouse | CS - Cold Stores,25/08/2022,
3700/03446,"SpringSnow Food Group Co., Ltd. No 2 Slaughtering Factory","South End of Huanghai Second Road Laiyang City,Shandong Province，China",Laiyang,264000,"Yantai City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS SH CP,Y,,CS - Cold Stores | SH - Slaughterhouse | CP - Cutting Plant,,
3700/03516,"Springsnow Food Group Co.,Ltd. Slaughtering Factory",No.18 Fushan Road Laiyang City,Yantai,264000,"Yantai City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS CP SH,Y,,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,10/05/2023,
4000/03020,"The Fifth Slaughtering and Processing Plant of Shandong Fambros Industrial Co., Ltd.","100 meters northeast of the intersection of Fucheng Avenue and Fuxi Avenue, Anle Town, Yanggu County, Liaocheng City, Shandong Province",Liaocheng,252000,"Liaocheng City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS CP SH,Y,,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,19/08/2024,
3700/03364,"The Fourth Plant Of Shandong Kaijia Food Co.,Ltd.",No.138 Xiazhuang Industrial Area District(A),Weifang,261042,"Weifang City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,SH CP CS,Y,,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,,
4000/03079,"The Processing Plant Of Shangdong Rongda Jinyi Food Technology Co., Ltd.","South of the Road,100 Meters to the Intersection of National Highway 105 and Provincial Highway 520, East Section of Qianguo Village, Yuqiuhu Subdistrict, Gaotang County, Liaocheng City, Shandong Province",Liaocheng,252000,"Liaocheng City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CS CP SH,Y,,CS - Cold Stores | CP - Cutting Plant | SH - Slaughterhouse,05/02/2024,
3700/03295,"Weifang Jinhe Food Co.,Ltd.","No.3, Zhengda Road",Weifang,261042,"Weifang City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,SH CS CP,Y,,SH - Slaughterhouse | CS - Cold Stores | CP - Cutting Plant,11/10/2022,
3700/03263,"Weifang Legang Food Co., Ltd.","Honghe Town, Changle County",Weifang,261042,"Weifang City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,SH CP CS,Y,,SH - Slaughterhouse | CP - Cutting Plant | CS - Cold Stores,10/10/2022,
3700/03454,"Yingyuan Co., Ltd","Yandian Industrial Zone, Yanzhou Jining, Shandong",Jining,272000,"Jining City,Shandong; 17 Poultry meat produced solely for the manufacture of poultry meat products on own territory and intended for export to the EU; A Poultry",China,third-country,PM,CP SH CS,Y,,CP - Cutting Plant | SH - Slaughterhouse | CS - Cold Stores,,
No identifiers,SHANDONG RIYING FOOD CO LTD,HONGXU INDUSTRY ZONE TENGZHOU COUNTY,"Yantai, Shandong",,Shandong,China,third-country,GM,CS,N,,CS - Cold Stores,,
