approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
RB,Lady Aqeelah (Letap Cc),"70 Boshoff Street, Westering, Port Elizabeth, 6025",Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VO,Laverne (Sea Harvest Corp),"4 South Arm Rd, Table Bay Harbour , Cape Town",Cape Town,1741,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
T9,Lazarus (Indica Fishing (Pty) Ltd),,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PZ,Le Marsh (S. Alcock),,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
V3,Lee Anne (Sea Harvest Corp),"4 South Arm Rd, Table Bay Harbour",Cape Town,1741,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SO,Ligugu - Tamarin Fishing (Pty) Ltd,"Russel Paterson Quay, PE Harbour",Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
V4,Lincoln (Sea Harvest Corp),"4 South Arm Rd, Table Bay Harbour",Cape Town,7100,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
V1,Lisinda (Sea Harvest Corp),"4 South Arm Rd, Table Bay Harbour",Cape Town,7100,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
92,Live Fish Tanks,,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,PP,,,PP - Processing Plant,,
R1,Louisa-Claire - Algoa Fishing (Pty) Ltd,28 Crawford Street. PE,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,FV,,,FV - Factory Vessel,,
UF,Louise Mari (Classic Sailing Adventures (Pty) Ltd),"Porthole Building, Triton, Avenue",Port St Francis,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
S9,Lubbetje (Premier Fishing),,Cape Town,7100,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
V2,Lucerne (Sea Harvest Corp),"4 South Arm Rd, Table Bay Harbour , Cape Town",Cape Town,7100,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
VY,Lucky Luke (Lucky Luke Fishing Co),,Jeffreysbaai,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
H,Lucky Star Ltd,,St Helena Bay,,Western Cape,South Africa,third-country,FFP,PP,,,PP - Processing Plant,,
S1,MFV Atlantic Tuna,"Suite 504 The Regent, 19-33 Regent Road, Sea Point, 8005, Cape Town",Cape Town,,Western Cape; 7225051	30/01/2022,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
SN,MFV Jacqueline - Jacqueline Fishing Enterprises [Pty] Ltd,"80 Woodgate Rd, Plumstead 7800",Cape Town,7100,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
WF,MFV Leontina Maria- (Nascimento Fishing CC ),"8 Viscount Crescent, Baronetcy Estate , Plattekloof",Cape Town,7805,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
XN,MFV Nomzamo 1 (Eyethu Trawling Pty Ltd),24 Evatt Street Central,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,FV,,,FV - Factory Vessel,,
PR,MFV Snow Goose (St Francis Sea Products (Pty) Ltd),"Section 6, Chokka Block Building, Triton Avenue, St Francis Bay P O Box 164, St Francis Bay, 6312",St. Francis Bay,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
RX,Malachite -(Twoline Trading 163(Pty)Ltd),"24 Stuartfield Avenue, Wynberg, Cape Town, 7806",Cape Town,1741,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
XP,Malagas II (Kentucky Fishing Cc.),,Cape Town,7100,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZM,Maluti (Aquarius Fishing (Pty) Ltd),,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
W6,Manicwa (H.L.C. Griffiths),,Hout Bay,8001,Western Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
UW,Maryke (Dodeka Trust),,Humansdorp,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
UZ,Maverick (Maverick Fishing (Pty) Ltd.),Kamassi Maritime Admin Building,Port Elizabeth,6000,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
TD,Megalodon (Meglafish (Pty) Ltd),"Porthole Building, Triton, Avenue",Port St Francis,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PD,Mia Barka (Dodeka),,Humansdorp,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
U0,Michele (Balobi Fishing Enterprises (Pty) Ltd),,St. Francis Bay,,Eastern Cape,South Africa,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
