approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
BG0805016EO,MESOKOMBINAT-DISK EOOD,ul.General Todor Kantardzhiev 16,Dobrich,9300,Dobrich,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG0104034,MESOMANIA-LUTFI MUSA,YRUKOVO - VILLAGE,Urukovo,2796,Blagoevgrad,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG0104028,MISAYA LTD,"s. Debren , trinadeseta 3 str.",Гърмен,2960,Blagoevgrad,Bulgaria,RM,CP,N,bovine,CP - Cutting Plant,,
BG1201014,MITKO BOEV - VALENTINA BOEVA,PI 058035 PI 37544.58.35,Kovachitsa,3400,Montana,Bulgaria,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
BG0901017,MUSAN-N LTD,"Valkovich v., Kardzhali",Valkovich,,Kardzhali,Bulgaria,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
BG2801020,Mark 1 OOD,"Yambol, ul. ""Bitolya"" №60, obl.Yambol",Yambol,8600,Yambol,Bulgaria,RM,CP SH,Y,caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
BG1601014EO,Mesfuud AD,Stopanski dvor,Benkovski,4000,Plovdiv,Bulgaria,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
BG0101003,Mesokombinat Razlog LTD,"Promishlena zona - area ""ZAPAD""",Razlog,2700,Blagoevgrad,Bulgaria,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
BG0104016,Mesomaniya Treyd,"s. Musomoshta, Slivnica 6 str.",Goce Delcev,2900,Blagoevgrad,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG0101011,Mishel-69 LTD,"№17, Serska str.",Petrich,2850,Blagoevgrad,Bulgaria,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
2601012,Moni Mes LTD,ул. „Добруджа“ № 10,Haskovo,6300,Haskovo,Bulgaria,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
BG1201007,Montkom LTD,Kazanite str. №1,Berkovitsa,3500,Montana,Bulgaria,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
BG1501022,NATUR ALIMENT,UL.PLEVEN4,Krushovitsa,5805,Pleven,Bulgaria,RM,CP SH,Y,bovine porcine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
BG 0701002,NENOVI - MILEN NENOV,Neofit Rilski № 11,Sevlievo,5400,Gabrovo,Bulgaria,RM,SH,Y,porcine bovine ovine,SH - Slaughterhouse,,
BG2004001,NIKOV - IVAN KOSTADINOV ET,mestnost Selishteto №49,Sliven,8800,Sliven,Bulgaria,RM,CP,N,bovine porcine ovine caprine,CP - Cutting Plant,,
BG0801027,Nedko Nedkov-Ovcharovo LTD,Ovcharovo villige 9395,Ovcharovo,9300,Dobrich,Bulgaria,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
BG1301017,ORION GRUP 24 EOOD,BULGARIA PAZARDZHIK RAYKO DASKALOV 2,Pazardzhik,4400,Pazardzhik,Bulgaria,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
2601013,PARADOKS KONSULT 90 LTD,Източна индустриална зона,Harmanli,6400,Haskovo,Bulgaria,RM,CP SH,Y,bovine caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
BG2005023,PIGI-2001 OOD,Industrialna zona,Sliven,8800,Sliven,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG0441031,Planeta 98 EOOD,"с. Поликраище,Стопански двор",Polikraishte,5100,Veliko Tarnovo,Bulgaria,RM,CP SH,Y,porcine ovine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
BG2004024,RESOS OOD,kv. Balgarka №74,Sliven,8800,Sliven,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG2001020,RODOPA KOM OOD,Samuilovsko shose 17,Sliven,8800,Sliven,Bulgaria,RM,CP SH,Y,caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
BG0341024,SD HRISTO-BENTSA-GOSPODINOVI I SIE,"3,Kavala,str",Varna,9000,Varna,Bulgaria,RM,SH,Y,,SH - Slaughterhouse,,
BG1801012,"SK""GOLJAMO VRANOVO-INVEST""","v. Goljamo Vranovo, Slivo pole",Goliamo Vranovo,7065,Ruse,Bulgaria,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
BG0401012,SMM MiytOOD,"Shemshevo, SHemshevo, obl.Veliko Tarnovo",Shemshevo,5000,Veliko Tarnovo,Bulgaria,RM,SH,Y,porcine,SH - Slaughterhouse,,
BG0601014,STARTMES EOOD,"Tarnak, obl.Vratsa",Tarnak,3200,Vratsa,Bulgaria,RM,SH,Y,bovine ovine equine porcine,SH - Slaughterhouse,,
BG2504001,STEZIS EOOD,6 Mesta Street,Омуртаг,7900,Targovishte,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG1601020EO,Shans 3 - 2013 Ltd,"Kuklen, UPI II - 002205, obl.Plovdi",Kuklen,4101,Plovdiv,Bulgaria,RM,SH CP,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
BG2801018,Strandzha MP EOOD,"Bolyarovo, Promishlena zona, obl.Yambol",Bolyarovo,8720,Yambol,Bulgaria,RM,CP SH,Y,ovine caprine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
BG2741014,Svinevadna kompaniya OOD,ul. Provadiysko shose 8,Radko Dimitrievo,9811,Shumen,Bulgaria,RM,SH,Y,porcine,SH - Slaughterhouse,,
BG1801018,Svinevadno sdruzhenie OOD,"Ivanovo, ul. Mladezhka 39, obl.Ruse",Ruse,7000,Ruse,Bulgaria,RM,SH,Y,porcine,SH - Slaughterhouse,,
BG2804010,TAGARA EOOD,"Yambol, Industrialna zona, obl.Yambol",Yambol,8600,Yambol,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG2501002,TANDEM-POPOVO LTD,"complex Mladost, bl. 110, entr. V, apt. 2.",Popovo,7800,Targovishte,Bulgaria,RM,CP,N,bovine ovine equine porcine,CP - Cutting Plant,,
