InstallationInspireId,installationName,CountryName,City_of_Facility,Longitude,Latitude,IEDAnnexIMainActivity,IEDMainActivityName,EPRTRAnnexIMainActivity,installationStatus,reportingYear,dateOfStartOfOperation,permitURL,parent_facilityInspireId
UK.SEPA/300001956.Installation,"Luncarty Poultry Farm, Turriff, Aberdeen",United Kingdom,"Turriff, Aberdeenshire",-2.47144,57.57067,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2007-07-06,https://beta.sepa.org.uk/publicregister/search,UK.SEPA/200001956.Facility
UK.CAED/EW_EA-19391.INSTALLATION,Lund Warren Pig Unit EPR/TP3232AF,United Kingdom,Driffield,-0.59630102,53.918042,6.6(c),Intensive rearing of pigs with more than 750 places for sows,7(a),functional,2019,2016-02-29,,UK.CAED/EW_EA-19391.FACILITY
UK.SEPA/300002741.Installation,Lundie Castle Poultry Farm,United Kingdom,Dundee,-3.12368,56.50844,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,2019-01-22,https://beta.sepa.org.uk/publicregister/search,UK.SEPA/200002741.Facility
UK.CAED/EW_EA-22476.INSTALLATION,Lunnons Farm - EPR/EP3632JZ,United Kingdom,Barcheston,-1.6020752,52.05807,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2019-01-22,,UK.CAED/EW_EA-22476.FACILITY
UK.CAED/EW_EA-22057.INSTALLATION,Luntley Court Farm - EPR/AP3832JZ,United Kingdom,Leominster,-2.891627,52.194004,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2018-07-31,,UK.CAED/EW_EA-22057.FACILITY
UK.CAED/EW_EA-6662.INSTALLATION,Luttongate Farm EPR/RP3532YE,United Kingdom,Spalding,0.0064388473,52.699392,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2017-06-14,,UK.CAED/EW_EA-6662.FACILITY
UK.CAED/EW_EA-17856.INSTALLATION,Lye End Farm EPR/YP3330UH,United Kingdom,BUNTINGFORD,-0.059445331,51.97128,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-28,,UK.CAED/EW_EA-17856.FACILITY
UK.CAED/EW_EA-5325.INSTALLATION,"Lyehole Piggery, Pig Unit EPR/UP3439US",United Kingdom,Bristol,-2.7265858,51.353918,6.6(b),"Intensive rearing of pigs with more than 2,000 places for production pigs (over 30 kg)",7(a),functional,2019,2007-10-25,,UK.CAED/EW_EA-5325.FACILITY
UK.CAED/EW_EA-6321.INSTALLATION,Lyewood Farm,United Kingdom,Maidstone,0.53672077,51.234811,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),decommissioned,2018,2007-10-12,,UK.CAED/EW_EA-6321.FACILITY
UK.CAED/EW_EA-5361.INSTALLATION,Lyne Moor Poultry Farm EPR/YP3933UM,United Kingdom,Carlisle,-2.9338841,54.99462,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-07-27,,UK.CAED/EW_EA-5361.FACILITY
