a_key,a_source,a_name,a_address,a_id,b_key,b_source,b_name,b_address,b_id,country,name_score,metres_apart,reason,decision
us_fsis_mpi:M1722+P2824+V2824,us_fsis_mpi,"Overhill Farms, Inc.","3055 E. 44th St., Vernon, CA",M1722+P2824+V2824,us_fsis_mpi:M6147+P6147+G6147+V6147,us_fsis_mpi,"Overhill Farms, Inc.","2727 E. Vernon Avenue, Vernon, CA",M6147+P6147+G6147+V6147,USA,1.0,914,914 m apart,
us_fsis_mpi:V3563,us_fsis_mpi,Lineage Logistics LLC,"3141 East 44th Street, Los Angeles, CA",V3563,us_fsis_mpi:V46745,us_fsis_mpi,"Lineage Logistics, LLC","2825 E. 44th Street, Vernon, CA",V46745,USA,1.0,597,597 m apart,
us_fsis_mpi:V46745,us_fsis_mpi,"Lineage Logistics, LLC","2825 E. 44th Street, Vernon, CA",V46745,us_fsis_mpi:V46746,us_fsis_mpi,"Lineage Logistics, LLC","3211 E. 44th Street, Vernon, CA",V46746,USA,1.0,798,798 m apart,
us_fsis_mpi:I85,us_fsis_mpi,"Global Trading Enterprises LLC, DBA Rastelli Global","504 Sharptown Road, Swedesboro, NJ",I85,us_fsis_mpi:M7877B+P7877B+V7877B,us_fsis_mpi,Rastelli Global,"504 Sharptown Road, Swedesboro, NJ",M7877B+P7877B+V7877B,USA,0.4,0,0 m apart,
us_fsis_mpi:I391,us_fsis_mpi,FreezPak Logistics,"8730 Somers Rd S, Jacksonville, FL",I391,us_fsis_mpi:V3125,us_fsis_mpi,"Ray S.F., Inc., DBA, FreezPak Logistics","8730 Somers Rd S, Jacksonville, FL",V3125,USA,0.5,0,0 m apart,
us_fsis_mpi:V22073,us_fsis_mpi,"Lineage Logistics PFS, LLC","2050 E. 55th St., Vernon, CA",V22073,us_fsis_mpi:V3563A,us_fsis_mpi,Lineage Logistics LLC,"2045 East Vernon Avenue, Vernon, CA",V3563A,USA,0.667,1375,1375 m apart,
us_fsis_mpi:V34705,us_fsis_mpi,"Lineage Logistics PFS, LLC","2100 E 55th St., Vernon, CA",V34705,us_fsis_mpi:V3563A,us_fsis_mpi,Lineage Logistics LLC,"2045 East Vernon Avenue, Vernon, CA",V3563A,USA,0.667,1353,1353 m apart,
us_fsis_mpi:I620,us_fsis_mpi,"SR Forwarding, Inc.","40722 Cannel St., Laredo, TX",I620,us_fsis_mpi:V38445,us_fsis_mpi,"S.R. Forwarding, Inc.","40722 Cannel Street, Laredo, TX",V38445,USA,0.5,0,0 m apart,
us_fsis_mpi:I48,us_fsis_mpi,"Lineage Logistics PFS, LLC","2500 S. Damen, Chicago, IL",I48,us_fsis_mpi:I61,us_fsis_mpi,"Lineage Logistics PFS, LLC","2357 S. Wood St., Chicago, IL",I61,USA,1.0,614,614 m apart,
us_fsis_mpi:I48,us_fsis_mpi,"Lineage Logistics PFS, LLC","2500 S. Damen, Chicago, IL",I48,us_fsis_mpi:V46518,us_fsis_mpi,"Lineage Logistics PFS, LLC","2357 South Wood Street, Chicago, IL",V46518,USA,1.0,614,614 m apart,
us_fsis_mpi:I61,us_fsis_mpi,"Lineage Logistics PFS, LLC","2357 S. Wood St., Chicago, IL",I61,us_fsis_mpi:V31767,us_fsis_mpi,"Lineage Logistics PFS, LLC","2500 S. Damen Ave., Chicago, IL",V31767,USA,1.0,614,614 m apart,
us_fsis_mpi:V31767,us_fsis_mpi,"Lineage Logistics PFS, LLC","2500 S. Damen Ave., Chicago, IL",V31767,us_fsis_mpi:V46518,us_fsis_mpi,"Lineage Logistics PFS, LLC","2357 South Wood Street, Chicago, IL",V46518,USA,1.0,614,614 m apart,
us_fsis_mpi:M40353+P40353+V40353,us_fsis_mpi,Sysco South Florida,"12500 Sysco Way, Medley, FL",M40353+P40353+V40353,us_fsis_mpi:M597+P597,us_fsis_mpi,Buckhead South Florida LLC,"12510 NW 112th Ave., Medley, FL",M597+P597,USA,0.5,5,5 m apart,
us_fsis_mpi:V21857,us_fsis_mpi,"Lineage Logistics Services, LLC","4100 Bandini Boulevard, Vernon, CA",V21857,us_fsis_mpi:V3563D,us_fsis_mpi,Lineage Logistics LLC,"4353 Exchange Ave., Vernon, CA",V3563D,USA,0.667,727,727 m apart,
us_fsis_mpi:I543,us_fsis_mpi,"G&C Food Distributors & Brokers, Inc.","3407 Walters Road, Syracuse, NY",I543,us_fsis_mpi:M20485+P20485+I20485+V20485,us_fsis_mpi,"G&C Food Distributors, Inc.","3407 Walters Road, Syracuse, NY",M20485+P20485+I20485+V20485,USA,0.5,0,0 m apart,
us_fsis_mpi:I58,us_fsis_mpi,Lineage Logistics - Vernon Area #2,"3211 E. 44th Street, Vernon, CA",I58,us_fsis_mpi:V2013,us_fsis_mpi,Vernon Central Logistics,"4215 Exchange Ave., Vernon, CA",V2013,USA,0.4,610,610 m apart,
us_fsis_mpi:I58,us_fsis_mpi,Lineage Logistics - Vernon Area #2,"3211 E. 44th Street, Vernon, CA",I58,us_fsis_mpi:V3563D,us_fsis_mpi,Lineage Logistics LLC,"4353 Exchange Ave., Vernon, CA",V3563D,USA,0.5,945,945 m apart,
us_fsis_mpi:I80,us_fsis_mpi,Lineage Logistics - Vernon Area #8,"2825 E. 44th Street, Vernon, CA",I80,us_fsis_mpi:V2013,us_fsis_mpi,Vernon Central Logistics,"4215 Exchange Ave., Vernon, CA",V2013,USA,0.4,1398,1398 m apart,
us_fsis_mpi:V3563,us_fsis_mpi,Lineage Logistics LLC,"3141 East 44th Street, Los Angeles, CA",V3563,us_fsis_mpi:V3563D,us_fsis_mpi,Lineage Logistics LLC,"4353 Exchange Ave., Vernon, CA",V3563D,USA,1.0,1143,1143 m apart,
us_fsis_mpi:V3563D,us_fsis_mpi,Lineage Logistics LLC,"4353 Exchange Ave., Vernon, CA",V3563D,us_fsis_mpi:V46746,us_fsis_mpi,"Lineage Logistics, LLC","3211 E. 44th Street, Vernon, CA",V46746,USA,1.0,945,945 m apart,
us_fsis_mpi:I683,us_fsis_mpi,"Elore Enterprises, LLC","1167 NW 159 Drive, Miami Gardens, FL",I683,us_fsis_mpi:M12648,us_fsis_mpi,"Elore Enterprises, LLC","1055 NW 159 Drive, Miami Gardens, FL",M12648,USA,1.0,331,331 m apart,
us_fsis_mpi:I70+V70,us_fsis_mpi,Seafrigo Coldstorage Miami Inc,"3200 NW 67th Avenue Suite 230, Miami, FL",I70+V70,us_fsis_mpi:V1799,us_fsis_mpi,Seafrigo Cold Storage Miami,"6745 NW 36th St Unit 230, Miami, FL",V1799,USA,0.4,1219,1219 m apart,
us_fsis_mpi:M34513+P34513,us_fsis_mpi,"Taylor Farms New Jersey, Inc.","406-A Heron Drive, Swedesboro, NJ",M34513+P34513,us_fsis_mpi:M34513A+P34513A,us_fsis_mpi,"Taylor Farms New Jersey, Inc.","407 Heron Dr., Swedesboro, NJ",M34513A+P34513A,USA,1.0,307,307 m apart,
us_fsis_mpi:M10130+P10130,us_fsis_mpi,"Kenosha Beef International, Ltd.","1821 Dividend Dr., Columbus, OH",M10130+P10130,us_fsis_mpi:M10130A+P10130A,us_fsis_mpi,"Kenosha Beef International, Ltd.","1911 Dividend Drive, Columbus, OH",M10130A+P10130A,USA,1.0,290,290 m apart,
us_fsis_mpi:M2574,us_fsis_mpi,Wolverine Packing Co.,"1340 Winder St., Detroit, MI",M2574,us_fsis_mpi:M2574C+P2574C,us_fsis_mpi,Wolverine Packing Company,"2820 Rivard Street, Detroit, MI",M2574C+P2574C,USA,1.0,301,301 m apart,
us_fsis_mpi:M2574,us_fsis_mpi,Wolverine Packing Co.,"1340 Winder St., Detroit, MI",M2574,us_fsis_mpi:M2574D+P2574D+I2574D,us_fsis_mpi,Wolverine Packing Company,"4225 Dequindre Street, Detroit, MI",M2574D+P2574D+I2574D,USA,1.0,1417,1417 m apart,
